histogram,xs,widths,n,N1,i
0.15049282649032894,1.1101222,0.004409313,97,121,1
0.2149839398672303,1.1145315,0.0044094324,97,121,1
0.2149839398672303,1.1189411,0.0044094324,97,121,1
0.2579807278406763,1.1233504,0.0044094324,97,121,1
0.1934907769161372,1.1277598,0.004409313,97,121,1
0.27947912182739937,1.1321692,0.0044094324,97,121,1
0.4514662737211836,1.1365786,0.0044094324,97,121,1
0.5804566376415218,1.1409881,0.0044094324,97,121,1
0.9244559341548777,1.1453974,0.004409313,97,121,1
0.816938971495475,1.1498067,0.0044094324,97,121,1
1.0749196993361514,1.1542163,0.0044094324,97,121,1
1.0964477358581108,1.1586256,0.004409313,97,121,1
1.4403923971104429,1.1630349,0.0044094324,97,121,1
1.483389185083889,1.1674445,0.0044094324,97,121,1
1.6983731249511191,1.1718538,0.0044094324,97,121,1
1.6554210913936185,1.1762632,0.004409313,97,121,1
2.321826550566087,1.1806726,0.0044094324,97,121,1
2.149839398672303,1.185082,0.0044094324,97,121,1
2.794791218273994,1.1894915,0.0044094324,97,121,1
2.7518688272517293,1.1939008,0.004409313,97,121,1
3.568733401796023,1.1983101,0.0044094324,97,121,1
4.19218682741099,1.2027197,0.0044094324,97,121,1
3.4182446438889613,1.207129,0.0044094324,97,121,1
4.364291968219539,1.2115384,0.004409313,97,121,1
4.235183615384437,1.2159479,0.0044094324,97,121,1
4.858637040999405,1.2203572,0.0044094324,97,121,1
4.944630616946297,1.2247667,0.0044094324,97,121,1
4.772772497264718,1.229176,0.004409313,97,121,1
5.116617768840081,1.2335854,0.0044094324,97,121,1
6.342026226083293,1.2379949,0.0044094324,97,121,1
6.5355117719638,1.2424042,0.0044094324,97,121,1
6.148706910890582,1.2468137,0.004409313,97,121,1
6.277531044123124,1.2512231,0.0044094324,97,121,1
7.717923441233567,1.2556324,0.0044094324,97,121,1
6.578508559937246,1.260042,0.0044094324,97,121,1
7.266653621961597,1.2644513,0.004409313,97,121,1
7.094470015618599,1.2688606,0.0044094324,97,121,1
7.653428259273399,1.2732701,0.0044094324,97,121,1
5.912218183548637,1.2776794,0.004409313,97,121,1
6.664502135884139,1.2820888,0.0044094324,97,121,1
5.933556740335556,1.2864983,0.0044094324,97,121,1
6.449518196016909,1.2909076,0.0044094324,97,121,1
5.353244828013129,1.295317,0.004409313,97,121,1
5.718572800468326,1.2997265,0.0044094324,97,121,1
6.10554389222934,1.3041358,0.0044094324,97,121,1
5.095119374853358,1.3085454,0.0044094324,97,121,1
5.9337171587615405,1.3129547,0.004409313,97,121,1
4.7726434650525125,1.317364,0.0044094324,97,121,1
4.235183615384437,1.3217735,0.0044094324,97,121,1
4.342675585318052,1.3261828,0.0044094324,97,121,1
3.676324761406607,1.3305923,0.004409313,97,121,1
3.6332285837561917,1.3350017,0.0044094324,97,121,1
3.76221894767653,1.339411,0.0044094324,97,121,1
3.074270340101393,1.3438206,0.0044094324,97,121,1
