density,density2,xs,samples,est,n,N1,i
2.5039694,2.6926048,1.4625587269758906,1.6449252,1.548780487804878,82,127,0
2.5427802,2.7246768,1.466362283371524,1.5045031,1.548780487804878,82,127,0
2.5798297,2.754692,1.4701658397671573,1.496726,1.548780487804878,82,127,0
2.615343,2.782744,1.4739693961627907,1.4907109,1.548780487804878,82,127,0
2.6492424,2.8087664,1.477772952558424,1.5155125,1.548780487804878,82,127,0
2.6810434,2.8324375,1.4815765089540573,1.5592915,1.548780487804878,82,127,0
2.7112398,2.854217,1.4853800653496907,1.5447408,1.548780487804878,82,127,0
2.7394345,2.8736198,1.489183621745324,1.3593924,1.548780487804878,82,127,0
2.7656424,2.8907716,1.4929871781409574,1.5076506,1.548780487804878,82,127,0
2.7897165,2.905719,1.4967907345365907,1.5912173,1.548780487804878,82,127,0
2.811768,2.9183383,1.500594290932224,1.6686693,1.548780487804878,82,127,0
2.831746,2.928777,1.5043978473278574,1.5240747,1.548780487804878,82,127,0
2.8496044,2.9365635,1.5082014037234908,1.5286843,1.548780487804878,82,127,0
2.865301,2.9423046,1.512004960119124,1.5579238,1.548780487804878,82,127,0
2.8786228,2.9456286,1.5158085165147575,1.3380166,1.548780487804878,82,127,0
2.8898895,2.9466176,1.5196120729103908,1.4321662,1.548780487804878,82,127,0
2.8988106,2.9450893,1.5234156293060241,1.5907137,1.548780487804878,82,127,0
2.9054532,2.9414964,1.5272191857016575,1.5485884,1.548780487804878,82,127,0
2.9099786,2.9354882,1.5310227420972908,1.4492193,1.548780487804878,82,127,0
2.9121108,2.9274368,1.5348262984929242,1.5107529,1.548780487804878,82,127,0
2.911933,2.9167356,1.5386298548885575,1.5390792,1.548780487804878,82,127,0
2.9096234,2.9041233,1.5424334112841909,1.398995,1.548780487804878,82,127,0
2.9051871,2.8893604,1.5462369676798242,1.5625217,1.548780487804878,82,127,0
