,dataset,method,metric,object_class,q2,q5,q8,recall,order_key,norder_key
43,bdd,this work,time savings,traffic light,1.3255813953488373,1.3255813953488373,1.3255813953488373,0.1,"('bdd', 'traffic light')",7
44,bdd,this work,savings in frames,traffic sign,1.13125,1.13125,1.13125,0.1,"('bdd', 'traffic sign')",8
45,bdd,this work,time savings,traffic sign,1.13125,1.13125,1.13125,0.1,"('bdd', 'traffic sign')",8
46,bdd,this work,savings in frames,truck,1.5125,1.5125,1.5125,0.1,"('bdd', 'truck')",6
47,bdd,this work,time savings,truck,1.5125000000000002,1.5125000000000002,1.5125000000000002,0.1,"('bdd', 'truck')",6
48,bdd,BlazeIt,savings in frames,bike,0.8525676421866372,0.8525676421866372,0.8525676421866372,0.5,"('bdd', 'bike')",2
49,bdd,BlazeIt,time savings,bike,0.5067309198398442,0.5067309198398442,0.5067309198398442,0.5,"('bdd', 'bike')",2
50,bdd,BlazeIt,savings in frames,bus,0.8701814058956916,0.8701814058956916,0.8701814058956916,0.5,"('bdd', 'bus')",5
51,bdd,BlazeIt,time savings,bus,0.5116697338562478,0.5116697338562478,0.5116697338562478,0.5,"('bdd', 'bus')",5
52,bdd,BlazeIt,savings in frames,motor,0.7484725050916496,0.7484725050916496,0.7484725050916496,0.5,"('bdd', 'motor')",3
53,bdd,BlazeIt,time savings,motor,0.45937758161790987,0.45937758161790987,0.45937758161790987,0.5,"('bdd', 'motor')",3
54,bdd,BlazeIt,savings in frames,person,0.8238312428734321,0.8238312428734321,0.8238312428734321,0.5,"('bdd', 'person')",1
55,bdd,BlazeIt,time savings,person,0.48328049867336764,0.48328049867336764,0.48328049867336764,0.5,"('bdd', 'person')",1
56,bdd,BlazeIt,savings in frames,rider,0.7914020517830972,0.7914020517830972,0.7914020517830972,0.5,"('bdd', 'rider')",4
57,bdd,BlazeIt,time savings,rider,0.4934538147987592,0.4934538147987592,0.4934538147987592,0.5,"('bdd', 'rider')",4
58,bdd,BlazeIt,savings in frames,traffic light,0.875,0.875,0.875,0.5,"('bdd', 'traffic light')",7
59,bdd,BlazeIt,time savings,traffic light,0.5480682757372423,0.5480682757372423,0.5480682757372423,0.5,"('bdd', 'traffic light')",7
60,bdd,BlazeIt,savings in frames,traffic sign,0.9139102854553692,0.9139102854553692,0.9139102854553692,0.5,"('bdd', 'traffic sign')",8
61,bdd,BlazeIt,time savings,traffic sign,0.5858293741540139,0.5858293741540139,0.5858293741540139,0.5,"('bdd', 'traffic sign')",8
62,bdd,BlazeIt,savings in frames,truck,0.8253877082136704,0.8253877082136704,0.8253877082136704,0.5,"('bdd', 'truck')",6
63,bdd,BlazeIt,time savings,truck,0.48270362131647454,0.48270362131647454,0.48270362131647454,0.5,"('bdd', 'truck')",6
64,bdd,random,savings in frames,bike,0.881781838949172,0.881781838949172,0.881781838949172,0.5,"('bdd', 'bike')",2
65,bdd,random,time savings,bike,0.881781838949172,0.881781838949172,0.881781838949172,0.5,"('bdd', 'bike')",2
66,bdd,random,savings in frames,bus,0.8580212409167133,0.8580212409167133,0.8580212409167133,0.5,"('bdd', 'bus')",5
67,bdd,random,time savings,bus,0.8580212409167132,0.8580212409167132,0.8580212409167132,0.5,"('bdd', 'bus')",5
68,bdd,random,savings in frames,motor,0.7989130434782609,0.7989130434782609,0.7989130434782609,0.5,"('bdd', 'motor')",3
69,bdd,random,time savings,motor,0.7989130434782609,0.7989130434782609,0.7989130434782609,0.5,"('bdd', 'motor')",3
70,bdd,random,savings in frames,person,0.8299827685238369,0.8299827685238369,0.8299827685238369,0.5,"('bdd', 'person')",1
71,bdd,random,time savings,person,0.8299827685238369,0.8299827685238369,0.8299827685238369,0.5,"('bdd', 'person')",1
72,bdd,random,savings in frames,rider,0.7818532818532818,0.7818532818532818,0.7818532818532818,0.5,"('bdd', 'rider')",4
73,bdd,random,time savings,rider,0.7818532818532817,0.7818532818532817,0.7818532818532817,0.5,"('bdd', 'rider')",4
74,bdd,random,savings in frames,traffic light,0.8568052930056711,0.8568052930056711,0.8568052930056711,0.5,"('bdd', 'traffic light')",7
75,bdd,random,time savings,traffic light,0.8568052930056711,0.8568052930056711,0.8568052930056711,0.5,"('bdd', 'traffic light')",7
76,bdd,random,savings in frames,traffic sign,0.8976412995104583,0.8976412995104583,0.8976412995104583,0.5,"('bdd', 'traffic sign')",8
77,bdd,random,time savings,traffic sign,0.8976412995104585,0.8976412995104585,0.8976412995104585,0.5,"('bdd', 'traffic sign')",8
78,bdd,random,savings in frames,truck,0.8230240549828178,0.8230240549828178,0.8230240549828178,0.5,"('bdd', 'truck')",6
79,bdd,random,time savings,truck,0.8230240549828178,0.8230240549828178,0.8230240549828178,0.5,"('bdd', 'truck')",6
80,bdd,this work,savings in frames,bike,2.364471669218989,2.364471669218989,2.364471669218989,0.5,"('bdd', 'bike')",2
81,bdd,this work,time savings,bike,2.3644716692189895,2.3644716692189895,2.3644716692189895,0.5,"('bdd', 'bike')",2
82,bdd,this work,savings in frames,bus,1.6347177848775294,1.6347177848775294,1.6347177848775294,0.5,"('bdd', 'bus')",5
83,bdd,this work,time savings,bus,1.6347177848775292,1.6347177848775292,1.6347177848775292,0.5,"('bdd', 'bus')",5
84,bdd,this work,savings in frames,motor,1.96524064171123,1.96524064171123,1.96524064171123,0.5,"('bdd', 'motor')",3
85,bdd,this work,time savings,motor,1.96524064171123,1.96524064171123,1.96524064171123,0.5,"('bdd', 'motor')",3
86,bdd,this work,savings in frames,person,2.539543057996485,2.539543057996485,2.539543057996485,0.5,"('bdd', 'person')",1
87,bdd,this work,time savings,person,2.539543057996485,2.539543057996485,2.539543057996485,0.5,"('bdd', 'person')",1
88,bdd,this work,savings in frames,rider,2.042875157629256,2.042875157629256,2.042875157629256,0.5,"('bdd', 'rider')",4
89,bdd,this work,time savings,rider,2.042875157629256,2.042875157629256,2.042875157629256,0.5,"('bdd', 'rider')",4
90,bdd,this work,savings in frames,traffic light,1.561584840654608,1.561584840654608,1.561584840654608,0.5,"('bdd', 'traffic light')",7
91,bdd,this work,time savings,traffic light,1.561584840654608,1.561584840654608,1.561584840654608,0.5,"('bdd', 'traffic light')",7
92,bdd,this work,savings in frames,traffic sign,1.3261012491781723,1.3261012491781723,1.3261012491781723,0.5,"('bdd', 'traffic sign')",8
93,bdd,this work,time savings,traffic sign,1.3261012491781723,1.3261012491781723,1.3261012491781723,0.5,"('bdd', 'traffic sign')",8
94,bdd,this work,savings in frames,truck,1.5518358531317495,1.5518358531317495,1.5518358531317495,0.5,"('bdd', 'truck')",6
95,bdd,this work,time savings,truck,1.5518358531317493,1.5518358531317493,1.5518358531317493,0.5,"('bdd', 'truck')",6
96,bdd,BlazeIt,savings in frames,bike,0.9934185784129372,0.9934185784129372,0.9934185784129372,0.9,"('bdd', 'bike')",2
97,bdd,BlazeIt,time savings,bike,0.8060748391787742,0.8060748391787742,0.8060748391787742,0.9,"('bdd', 'bike')",2
98,bdd,BlazeIt,savings in frames,bus,1.0295302013422818,1.0295302013422818,1.0295302013422818,0.9,"('bdd', 'bus')",5
99,bdd,BlazeIt,time savings,bus,0.8322763861681844,0.8322763861681844,0.8322763861681844,0.9,"('bdd', 'bus')",5
100,bdd,BlazeIt,savings in frames,motor,0.9742230347349178,0.9742230347349178,0.9742230347349178,0.9,"('bdd', 'motor')",3
101,bdd,BlazeIt,time savings,motor,0.7946636282083438,0.7946636282083438,0.7946636282083438,0.9,"('bdd', 'motor')",3
102,bdd,BlazeIt,savings in frames,person,0.9724424311060778,0.9724424311060778,0.9724424311060778,0.9,"('bdd', 'person')",1
103,bdd,BlazeIt,time savings,person,0.7884931404650624,0.7884931404650624,0.7884931404650624,0.9,"('bdd', 'person')",1
104,bdd,BlazeIt,savings in frames,rider,0.9734383586737497,0.9734383586737497,0.9734383586737497,0.9,"('bdd', 'rider')",4
105,bdd,BlazeIt,time savings,rider,0.7937287937197368,0.7937287937197368,0.7937287937197368,0.9,"('bdd', 'rider')",4
106,bdd,BlazeIt,savings in frames,traffic light,0.9856546213909569,0.9856546213909569,0.9856546213909569,0.9,"('bdd', 'traffic light')",7
