,method,q2,q5,q8,dataset,object_class,metric,recall,order_key,norder_key
122,this work,1.9479166666666665,1.9479166666666665,1.9479166666666665,bdd,rider,savings in frames,0.1,"('bdd', 'rider')",4
123,random+,1.206451612903226,1.206451612903226,1.206451612903226,bdd,rider,savings in frames,0.1,"('bdd', 'rider')",4
124,BlazeIt,1.0122129946262823,1.0122129946262823,1.0122129946262823,bdd,rider,savings in frames,0.5,"('bdd', 'rider')",4
125,random,1.0,1.0,1.0,bdd,rider,savings in frames,0.5,"('bdd', 'rider')",4
126,this work,2.6128625472887768,2.6128625472887768,2.6128625472887768,bdd,rider,savings in frames,0.5,"('bdd', 'rider')",4
127,random+,1.2790123456790123,1.2790123456790123,1.2790123456790123,bdd,rider,savings in frames,0.5,"('bdd', 'rider')",4
128,BlazeIt,1.0142883311961897,1.0142883311961897,1.0142883311961897,bdd,rider,savings in frames,0.9,"('bdd', 'rider')",4
129,random,1.0,1.0,1.0,bdd,rider,savings in frames,0.9,"('bdd', 'rider')",4
130,this work,1.8737732656514383,1.8737732656514383,1.8737732656514383,bdd,rider,savings in frames,0.9,"('bdd', 'rider')",4
131,random+,1.0419646217538578,1.0419646217538578,1.0419646217538578,bdd,rider,savings in frames,0.9,"('bdd', 'rider')",4
132,BlazeIt,0.1329085928573365,0.1329085928573365,0.1329085928573365,bdd,rider,time savings,0.1,"('bdd', 'rider')",4
133,random,1.0,1.0,1.0,bdd,rider,time savings,0.1,"('bdd', 'rider')",4
134,this work,1.9479166666666672,1.9479166666666672,1.9479166666666672,bdd,rider,time savings,0.1,"('bdd', 'rider')",4
135,random+,1.206451612903226,1.206451612903226,1.206451612903226,bdd,rider,time savings,0.1,"('bdd', 'rider')",4
136,BlazeIt,0.6311335211500181,0.6311335211500181,0.6311335211500181,bdd,rider,time savings,0.5,"('bdd', 'rider')",4
137,random,1.0,1.0,1.0,bdd,rider,time savings,0.5,"('bdd', 'rider')",4
138,this work,2.612862547288777,2.612862547288777,2.612862547288777,bdd,rider,time savings,0.5,"('bdd', 'rider')",4
139,random+,1.2790123456790126,1.2790123456790126,1.2790123456790126,bdd,rider,time savings,0.5,"('bdd', 'rider')",4
140,BlazeIt,0.8270373223233312,0.8270373223233312,0.8270373223233312,bdd,rider,time savings,0.9,"('bdd', 'rider')",4
141,random,1.0,1.0,1.0,bdd,rider,time savings,0.9,"('bdd', 'rider')",4
142,this work,1.8737732656514379,1.8737732656514379,1.8737732656514379,bdd,rider,time savings,0.9,"('bdd', 'rider')",4
143,random+,1.0419646217538576,1.0419646217538576,1.0419646217538576,bdd,rider,time savings,0.9,"('bdd', 'rider')",4
144,BlazeIt,1.125,1.125,1.125,bdd,traffic light,savings in frames,0.1,"('bdd', 'traffic light')",7
145,random,1.0,1.0,1.0,bdd,traffic light,savings in frames,0.1,"('bdd', 'traffic light')",7
146,this work,1.5348837209302324,1.5348837209302324,1.5348837209302324,bdd,traffic light,savings in frames,0.1,"('bdd', 'traffic light')",7
147,random+,1.1578947368421053,1.1578947368421053,1.1578947368421053,bdd,traffic light,savings in frames,0.1,"('bdd', 'traffic light')",7
148,BlazeIt,1.0212355212355213,1.0212355212355213,1.0212355212355213,bdd,traffic light,savings in frames,0.5,"('bdd', 'traffic light')",7
149,random,1.0,1.0,1.0,bdd,traffic light,savings in frames,0.5,"('bdd', 'traffic light')",7
150,this work,1.8225667527993108,1.8225667527993108,1.8225667527993108,bdd,traffic light,savings in frames,0.5,"('bdd', 'traffic light')",7
151,random+,1.1671263099834528,1.1671263099834528,1.1671263099834528,bdd,traffic light,savings in frames,0.5,"('bdd', 'traffic light')",7
152,BlazeIt,0.9961866715089884,0.9961866715089884,0.9961866715089884,bdd,traffic light,savings in frames,0.9,"('bdd', 'traffic light')",7
153,random,1.0,1.0,1.0,bdd,traffic light,savings in frames,0.9,"('bdd', 'traffic light')",7
154,this work,1.4417871222076215,1.4417871222076215,1.4417871222076215,bdd,traffic light,savings in frames,0.9,"('bdd', 'traffic light')",7
155,random+,1.0106853352984526,1.0106853352984526,1.0106853352984526,bdd,traffic light,savings in frames,0.9,"('bdd', 'traffic light')",7
156,BlazeIt,0.1402284148623677,0.1402284148623677,0.1402284148623677,bdd,traffic light,time savings,0.1,"('bdd', 'traffic light')",7
157,random,1.0,1.0,1.0,bdd,traffic light,time savings,0.1,"('bdd', 'traffic light')",7
158,this work,1.5348837209302324,1.5348837209302324,1.5348837209302324,bdd,traffic light,time savings,0.1,"('bdd', 'traffic light')",7
